date,system_name,paper_url,task_description,human_time_seconds,human_time_source,confidence,success_rate,num_trials,num_subtasks,category,sim_or_real,hardware,data_quality,is_frontier,success_type,notes
2022-04-01,SayCan,https://arxiv.org/abs/2204.01691,Multi-step kitchen task: fetch and place (6-step end-to-end),90,defended_estimate,medium,50,120,6,mobile_manipulation,real,Everyday Robots mobile manipulator,benchmark,TRUE,binary,"Headline rate is END-TO-END for 6-step task. Paper reports 74% planning success * per-step execution = ~50% end-to-end. Earlier CSV had 74% (planning only) — that conflated subtask rate with full-task duration, criterion #4 violation"
2022-08-01,Inner Monologue,https://arxiv.org/abs/2207.05608,Multi-step kitchen tasks with language feedback,90,defended_estimate,medium,69,100,5,mobile_manipulation,real,Everyday Robots mobile manipulator,benchmark,TRUE,binary,69% overall success on multi-step tasks with embodied reasoning
2022-09-01,Code as Policies,https://arxiv.org/abs/2209.07753,LLM-planned multi-step manipulation; 5+ step tabletop tasks,120,defended_estimate,medium,63,100,5,tabletop,real,UR5 + Robotiq gripper,benchmark,TRUE,binary,63% on compositional tabletop tasks; LLM writes manipulation code
2022-12-13,RT-1,https://arxiv.org/abs/2212.06817,Single-step pick/place/move,8,defended_estimate,high,97,3000,1,tabletop,real,Everyday Robots,benchmark,FALSE,binary,97% on seen tasks; 76% on unseen; 700+ task instructions
2023-02-01,Diffusion Policy,https://arxiv.org/abs/2303.04137,Multi-step manipulation: push-T / can sorting / square nut,45,defended_estimate,medium,88,50,3,tabletop,real,UR5 / Franka,benchmark,FALSE,binary,Diffusion-based policy; 88% on push-T
2023-03-01,ACT / ALOHA,https://arxiv.org/abs/2304.13705,"Slot battery into device (bimanual, ALOHA)",14,published_baseline,high,96,25,3,tabletop,real,ALOHA bimanual setup (ViperX 300),benchmark,FALSE,binary,"96% on slot battery (paper Tab. I, N=25). Other tasks at same ~14s human time per paper §V-B: slide ziploc 88%, open cup 84%, prep tape 64%, put on shoe 92%, thread velcro 20%"
2023-05-01,CLEANing Robot (TidyBot),https://arxiv.org/abs/2305.09560,"Pick subtask of multi-object sort (per-pick rate, not full task)",10,defended_estimate,medium,85,20,1,mobile_manipulation,real,Mobile Fetch robot,paper_demo,FALSE,binary,"85% is per-pick rate (subtask), not end-to-end multi-object sort task. Duration adjusted to per-pick (~10s), not full sort. Earlier CSV had 85% at 60s (full task) — that was an aggregate-rate issue"
2023-07-28,RT-2,https://arxiv.org/abs/2307.15818,Single-step manipulation with semantic reasoning,8,defended_estimate,high,62,6000,1,tabletop,real,Everyday Robots,benchmark,FALSE,binary,62% on novel/emergent tasks; 3x better than baselines
2023-08-01,FurnitureBench,https://arxiv.org/abs/2305.12821,Real furniture assembly (one-leg table),900,published_baseline,high,15,50,8,tabletop,real,Franka Panda with custom grippers,benchmark,FALSE,binary,Best IL method ~15% on easiest assembly; below 50% threshold
2023-10-01,RT-X / Open X-Embodiment,https://arxiv.org/abs/2310.08864,Single-step multi-robot manipulation across 22 embodiments,8,defended_estimate,high,70,1000,1,tabletop,real,22 different robot platforms,benchmark,FALSE,binary,1M+ trajectories; 527 skills; 50% improvement over single-embodiment
2024-01-04,Mobile ALOHA,https://arxiv.org/abs/2401.02117,"Mobile bimanual: call elevator (full task, autonomous)",45,published_baseline,high,95,20,4,mobile_manipulation,real,Mobile ALOHA (Trossen ViperX on AgileX base),paper_demo,FALSE,binary,"Call elevator 95% at 45s. Other tasks (paper Tab. 1): wipe wine 95%/26s, cabinet 85%/30s, high five 85%/40s, rinse pan 80%/22s, push chairs 80%/40s. Cook shrimp 40% on N=5 dropped (below N=10 bar)"
2024-01-04,Mobile ALOHA Cooking (Teleop),https://arxiv.org/abs/2401.02117,3-course Cantonese meal via TELEOPERATION (not autonomous),3600,observed_demo,low,0,1,15,mobile_manipulation,real,Mobile ALOHA,public_demo,FALSE,binary,"Reference only — teleoperated, not autonomous (disqualified by criterion 1). Included to flag the gap between viral demos and autonomous capability"
2024-03-01,GR-1 Humanoid Manipulation,https://arxiv.org/abs/2312.15496,Humanoid pick and place + pour water + wipe table,60,defended_estimate,medium,70,20,3,mobile_manipulation,real,Fourier GR-1 humanoid,paper_demo,FALSE,binary,Early humanoid manipulation demos; 3-step household tasks
2024-05-01,Octo,https://arxiv.org/abs/2405.12213,Single-step generalist manipulation: pick/place/push,8,defended_estimate,high,55,100,1,tabletop,real,WidowX / Franka,benchmark,FALSE,binary,Open-source generalist; 93M params; pretrained on 800k Open X-Embodiment episodes
2024-06-01,OpenVLA,https://arxiv.org/abs/2406.09246,Single-step manipulation: pick; place; push,8,defended_estimate,high,65,100,1,tabletop,real,WidowX / Franka,benchmark,FALSE,binary,7B parameter VLA; 20.4% improvement over baselines on fine-tuned setups
2024-10-29,HIL-SERL,https://arxiv.org/abs/2410.21845,Object handover (bimanual),14,published_baseline,high,100,100,2,tabletop,real,Franka Panda,benchmark,FALSE,binary,"Tab. 1a: 100% on N=100, RL cycle 13.6s, BC baseline 16.1s (~human time). All 13 tasks at 100% incl. RAM insert (4.8s), USB grasp (6.7s), timing belt (7.2s), IKEA whole assembly (10/10 N=10, multi-stage)"
2024-10-13,ALOHA Unleashed - Hang Shirt,https://arxiv.org/abs/2410.13126,Hang shirt on hanger from messy initial state,120,published_baseline,high,70,20,4,tabletop,real,ALOHA 2,benchmark,TRUE,binary,"ShirtMessy task, paper Tab. 1, 120s timeout. Longest >=50% task in the paper"
2024-10-13,ALOHA Unleashed - Tie Shoelace,https://arxiv.org/abs/2410.13126,Tie shoelaces (easy initial state),80,published_baseline,high,70,20,5,tabletop,real,ALOHA 2,benchmark,FALSE,binary,"LaceEasy task, paper Tab. 1, 80s timeout"
2024-10-13,ALOHA Unleashed - Gear Insert,https://arxiv.org/abs/2410.13126,Insert at least one of three robot gears,80,published_baseline,high,95,20,3,tabletop,real,ALOHA 2,benchmark,FALSE,binary,"GearInsert-1 task, paper Tab. 1. Full 3-gear task only 40% (below threshold)"
2024-10-31,π0 (laundry folding),https://arxiv.org/abs/2410.24164,Post-train laundry folding (5-min episode timeout),300,published_baseline,medium,70,10,4,tabletop,real,Franka / ALOHA / UR5 (8 embodiments),paper_demo,TRUE,rubric_progress,"Paper §VI-D, Fig 13. 4-point rubric (avg progress ~0.7), N=10. Episode 5-min timeout. Authors report tasks ""take 5-20 min"". This row is rubric_progress, not binary success"
2024-12-01,ALOHA 2 (hardware platform),https://aloha-2.github.io/,Hardware platform paper — no quantitative manipulation evaluation,0,defended_estimate,low,0,0,0,tabletop,real,ALOHA 2 bimanual platform,public_demo,FALSE,binary,REFERENCE ONLY — ALOHA 2 is a hardware paper with no per-task evaluations. Benchmark numbers attributed to ALOHA 2 actually come from ALOHA Unleashed and Gemini Robotics. Excluded from frontier
2025-02-01,UMI - Dish Washing,https://arxiv.org/abs/2402.10329,"Dish washing (7-step long horizon, hand-held gripper data)",60,defended_estimate,medium,70,20,7,tabletop,real,UR5 / Franka (cross-platform),benchmark,FALSE,binary,"Paper §V-D Fig 8: 14/20 = 70% on 7-step dish wash. Other tasks: cup arrange 100%, dynamic toss 87.5%, cloth folding 70%"
2025-03-12,Gemini Robotics - Lunch Box,https://arxiv.org/abs/2503.20020,"Pack lunch-box (multi-item, multi-step)",120,published_baseline,high,100,20,6,tabletop,real,ALOHA 2,benchmark,FALSE,binary,"Specialist (fine-tuned) model, paper §4.1 / Fig 23, ""over 2 minutes"". 100% on N=20. Other tasks: scoop nuts 100%, cards 90%, spelling 83% (N=12), snap peas 55%, origami 45%"
2025-03-01,Figure 02 at BMW,https://www.figure.ai/news/production-at-bmw,Sheet metal loading: 3 parts per 84s cycle over 10-hour shifts,84,observed_demo,medium,99,90000,3,mobile_manipulation,real,Figure 02 humanoid,public_demo,FALSE,binary,>99% placement accuracy per shift (5mm tolerance); 90k+ parts; 1250+ hours; narrow industrial task. 11-month deployment concluded Nov 2025
2025-04-22,π0.5 (bedroom cleanup),https://arxiv.org/abs/2504.16054,Bedroom cleanup in novel home (laundry-in-basket + make bed),720,published_baseline,medium,70,30,8,mobile_manipulation,real,Franka + mobile base / ALOHA,paper_demo,TRUE,rubric_progress,"Paper §V-A Fig 7. Rubric scoring (5/8-pt rubric depending on task). N=10 per home x 3 homes = 30. Total task duration 10-15 min per Fig 1. Some episodes dropped post-hoc (cancelled due to robot failures). rubric_progress, not binary"
2024-11-01,BiDex - Lift Pot,https://arxiv.org/abs/2411.13677,Lift pot (autonomous bimanual dexterous policy on LEAP V2),12,defended_estimate,medium,75,20,2,tabletop,real,Bimanual LEAP V2 dexterous hands,benchmark,FALSE,binary,CoRL 2024. Autonomous ACT policy trained from BiDex teleop demos. Tab. 4 (LEAP V2): 15/20. Most of the paper is teleop infrastructure; the policy results in Tab. 3-4 are the autonomous component
2025-03-05,BEHAVIOR Robot Suite - Put Items onto Shelves,https://arxiv.org/abs/2503.05652,Put items onto shelves (single-stage household),60,published_baseline,high,93,15,2,mobile_manipulation,real,Galaxea R1 (bimanual + mobile + torso),benchmark,FALSE,binary,"Paper Tab. A.IX-A.XIII, x/15 binary entire-task (ET) success. Highest-success household task in the BRS suite"
2025-03-05,BEHAVIOR Robot Suite - Take Trash Outside,https://arxiv.org/abs/2503.05652,Take trash outside (mobile bimanual multi-stage),130,published_baseline,high,53,15,4,mobile_manipulation,real,Galaxea R1,benchmark,FALSE,binary,"Paper Tab. A.IX-A.XIII, 8/15 ET success. Just above 50% threshold. Notable as one of the few binary multi-minute results in 2025"
2025-03-05,BEHAVIOR Robot Suite - Clean House After a Wild Party,https://arxiv.org/abs/2503.05652,Clean house after wild party (6-stage household),210,published_baseline,high,40,15,6,mobile_manipulation,real,Galaxea R1,benchmark,FALSE,binary,Longest task in BRS suite. 6/15 ET = 40% — below 50% threshold. Included as a sub-50% reference point showing where binary multi-minute is in 2025
2025-03-10,AgiBot World / GO-1 - Fold Shorts,https://arxiv.org/abs/2503.06669,Fold shorts (humanoid bimanual),30,defended_estimate,medium,66,30,4,mobile_manipulation,real,G1 humanoid (AgiBot fleet),benchmark,FALSE,rubric_progress,"Paper Sec. V-A1, Fig 5/6: GO-1 generalist scores 0.66 in-distribution rubric, 0.51 out-of-distribution avg. 10 rollouts × 3 scenarios. IROS 2025 best paper finalist"
2025-03-02,Reactive Diffusion Policy - Bimanual Lifting,https://arxiv.org/abs/2503.02881,"Bimanual lifting (clamp + lift coordinated, soft and hard cups)",15,defended_estimate,medium,70,20,2,tabletop,real,Bimanual Flexiv Rizon 4,benchmark,FALSE,rubric_progress,RSS 2025 outstanding student paper. RDP Force rubric score 0.70 (0/0.5/1). Binary lift sub-metric: 90% on each cup type. Slow-fast diffusion + visuotactile
2025-05-21,DexUMI - Kitchen,https://arxiv.org/abs/2505.21864,Kitchen 4-stage: turn off knob → pick-place pan → pick salt → sprinkle,45,defended_estimate,medium,75,20,4,tabletop,real,Inspire Hand / XHand (12-DoF dexterous),benchmark,FALSE,binary,"CoRL 2025 oral. Stage-wise accumulated success (best config Rel/Yes/Inpaint): knob 1.00, pan 0.85, salt 0.95, sprinkle 0.75. Final-stage = 75% binary"
2025-07-05,TRI LBM - CutAppleInSlices,https://arxiv.org/abs/2507.05331,Cut apple into slices (longest LBM task: corer + knife + slice + wipe),180,published_baseline,medium,30,50,7,tabletop,real,Bimanual Franka FR3,benchmark,FALSE,rubric_progress,"TRI Large Behavior Models. Paper §IV-A2, Fig S6b: ""longest horizon task in benchmark, up to 3 minutes"". Binary fully-completed ~0%, but task-completion (TC) rubric is meaningful (~30% partial credit estimated). 50 rollouts/task — strongest stats methodology in the field"
2025-10-14,RL-100 - Box Folding,https://arxiv.org/abs/2510.14830,"Box folding (long-horizon contact-rich, RL-100 CM)",42,observed_demo,high,100,50,4,tabletop,real,Multi-embodiment (paper has 8 tasks),benchmark,FALSE,binary,RL-100 paper. 50/50 box folding. Robot wall-clock 41.4s (CM) / 45.6s (DDIM). Paper also reports 7-hour mall juicing run with 1000/1000 trials. 2025 standout for binary reliability at this horizon
2025-11-17,π0.6 (single-shirt fold),https://arxiv.org/abs/2511.14759,Fold single orange t-shirt collar-up (failure-mode-removal ablation),200,published_baseline,high,97,50,4,mobile_manipulation,real,Mobile bimanual robot,paper_demo,FALSE,binary,"Paper §VI-C-1 last paragraph: 97% on strict failure-mode-removal ablation (single shirt, fixed orientation). 200s timeout. Binary success. The clean comparable number from this paper"
2025-11-17,π0.6 (espresso),https://arxiv.org/abs/2511.14759,"Make espresso (grind+tamp+extract+clean), 200s timeout",200,published_baseline,medium,90,414,5,mobile_manipulation,real,Mobile bimanual robot,paper_demo,FALSE,rubric_progress,"Paper §VI-A, Fig 8: ""90%+ range"" with RECAP. Multi-stage rubric. Continuous 5:30 AM-11:30 PM operation in real shop"
2025-11-17,π0.6 (diverse laundry),https://arxiv.org/abs/2511.14759,Diverse laundry items (11 categories) including button-up shirt,500,published_baseline,medium,75,450,5,mobile_manipulation,real,Mobile bimanual robot,paper_demo,FALSE,rubric_progress,"Paper §VI-A: ""more than 2x reduction in failure rates"" with RECAP, ~70-80% range. 500s timeout. Hardest item is button-up shirt"
